	name	male
0	阿不都热依木·阿巴拜科日	1
1	阿不力孜·阿巴拜科日	1
2	阿迪力·阿巴拜科日	1
3	阿尔斯兰·阿巴拜科日	1
4	阿扎提·阿巴拜科日	1
5	阿勒玛斯·阿巴拜科日	1
6	阿里木·阿巴拜科日	1
7	阿曼·阿巴拜科日	1
8	艾海提·阿巴拜科日	1
9	艾合坦木·阿巴拜科日	1
10	艾合买提·阿巴拜科日	1
11	艾尔希鼎·阿巴拜科日	1
12	艾尔肯·阿巴拜科日	1
13	艾孜买提·阿巴拜科日	1
14	艾克拜尔·阿巴拜科日	1
15	艾力凯木·阿巴拜科日	1
16	艾力·阿巴拜科日	1
17	艾买提·阿巴拜科日	1
18	艾尼瓦尔·阿巴拜科日	1
19	艾沙·阿巴拜科日	1
20	依明·阿巴拜科日	1
21	巴图尔·阿巴拜科日	1
22	巴拉提·阿巴拜科日	1
23	巴克·阿巴拜科日	1
24	拜合提亚尔·阿巴拜科日	1
25	布尔斯兰·阿巴拜科日	1
26	包尔汉·阿巴拜科日	1
27	帕孜力·阿巴拜科日	1
28	普拉提·阿巴拜科日	1
29	皮达·阿巴拜科日	1
30	塔西布拉克·阿巴拜科日	1
31	塔力普·阿巴拜科日	1
32	托合提·阿巴拜科日	1
33	坦吾皮克·阿巴拜科日	1
34	吐尔地·阿巴拜科日	1
35	吐尔逊·阿巴拜科日	1
36	吐尔干·阿巴拜科日	1
37	吐尔洪·阿巴拜科日	1
38	铁木尔·阿巴拜科日	1
39	提力瓦力迪·阿巴拜科日	1
40	贾马力·阿巴拜科日	1
41	健索尔·阿巴拜科日	1
42	居热提·阿巴拜科日	1
43	居麦·阿巴拜科日	1
44	杰力力·阿巴拜科日	1
45	哈力克·阿巴拜科日	1
46	达尼西·阿巴拜科日	1
47	达瓦买提·阿巴拜科日	1
48	达伍提·阿巴拜科日	1
49	迪亚尔·阿巴拜科日	1
50	热合曼·阿巴拜科日	1
51	热扎克·阿巴拜科日	1
52	热介甫·阿巴拜科日	1
53	热克甫·阿巴拜科日	1
54	热赫木·阿巴拜科日	1
55	如孜·阿巴拜科日	1
56	如苏力·阿巴拜科日	1
57	扎伊提·阿巴拜科日	1
58	孜亚·阿巴拜科日	1
59	沙比提·阿巴拜科日	1
60	沙比尔·阿巴拜科日	1
61	萨迪克·阿巴拜科日	1
62	萨拉木·阿巴拜科日	1
63	沙吾提·阿巴拜科日	1
64	沙依提·阿巴拜科日	1
65	赛排尔·阿巴拜科日	1
66	赛尔旦·阿巴拜科日	1
67	苏皮·阿巴拜科日	1
68	苏里唐·阿巴拜科日	1
69	色提瓦力迪·阿巴拜科日	1
70	色依提·阿巴拜科日	1
71	赛福鼎·阿巴拜科日	1
72	谢力甫·阿巴拜科日	1
73	谢木斯·阿巴拜科日	1
74	仙拜·阿巴拜科日	1
75	肖开提·阿巴拜科日	1
76	雪合来提·阿巴拜科日	1
77	许库尔·阿巴拜科日	1
78	西力甫·阿巴拜科日	1
79	哈孜·阿巴拜科日	1
80	艾里甫·阿巴拜科日	1
81	艾尼·阿巴拜科日	1
82	卡德尔·阿巴拜科日	1
83	卡热·阿巴拜科日	1
84	喀斯木·阿巴拜科日	1
85	喀伍力·阿巴拜科日	1
86	阔其喀尔·阿巴拜科日	1
87	库尔班·阿巴拜科日	1
88	哈热买提·阿巴拜科日	1
89	佧马力·阿巴拜科日	1
90	佧米力·阿巴拜科日	1
91	坎吉·阿巴拜科日	1
92	克热木·阿巴拜科日	1
93	麦吉侬·阿巴拜科日	1
94	麦合苏提·阿巴拜科日	1
95	麦合木提·阿巴拜科日	1
96	麦苏木·阿巴拜科日	1
97	买买提·阿巴拜科日	1
98	穆太力普·阿巴拜科日	1
99	穆合塔尔·阿巴拜科日	1
100	穆再排尔·阿巴拜科日	1
101	穆萨·阿巴拜科日	1
102	努尔扎提·阿巴拜科日	1
103	莫明·阿巴拜科日	1
104	南比·阿巴拜科日	1
105	努斯热提·阿巴拜科日	1
106	尼加提·阿巴拜科日	1
107	尼扎木·阿巴拜科日	1
108	阿西木·阿巴拜科日	1
109	哈克木·阿巴拜科日	1
110	艾山·阿巴拜科日	1
111	吾守尔·阿巴拜科日	1
112	赫克木·阿巴拜科日	1
113	赫克买提·阿巴拜科日	1
114	奥斯曼·阿巴拜科日	1
115	乌图克·阿巴拜科日	1
116	乌齐坤·阿巴拜科日	1
117	约麦尔·阿巴拜科日	1
118	吾尔开希·阿巴拜科日	1
119	瓦力斯·阿巴拜科日	1
120	维力·阿巴拜科日	1
121	艾则孜·阿巴拜科日	1
122	艾依克·阿巴拜科日	1
123	伊斯拉木·阿巴拜科日	1
124	伊斯拉哈提·阿巴拜科日	1
125	伊善·阿巴拜科日	1
126	依干拜尔迪·阿巴拜科日	1
127	伊里哈木·阿巴拜科日	1
128	伊马木·阿巴拜科日	1
129	伊敏·阿巴拜科日	1
130	伊纳耶提·阿巴拜科日	1
131	雅库甫·阿巴拜科日	1
132	亚力坤·阿巴拜科日	1
133	堯樂博斯·阿巴拜科日	1
134	玉素甫·阿巴拜科日	1
135	阿不都·阿巴拜科日	1
136	阿洪·阿巴拜科日	1
137	安拉·阿巴拜科日	1
138	巴依·阿巴拜科日	1
139	塔依·阿巴拜科日	1
140	江·阿巴拜科日	1
141	丁·阿巴拜科日	1
142	卡日·阿巴拜科日	1
143	毛拉·阿巴拜科日	1
144	尼亚孜·阿巴拜科日	1
145	阿吉·阿巴拜科日	1
146	阿布都热依木·阿巴拜科日	1
147	阿卜力孜·阿巴拜科日	1
148	阿迪里·阿巴拜科日	1
149	阿力玛斯·阿巴拜科日	1
150	阿力木·阿巴拜科日	1
151	艾合太木·阿巴拜科日	1
152	艾合麦提·阿巴拜科日	1
153	艾尔西丁·阿巴拜科日	1
154	艾孜麦提·阿巴拜科日	1
155	艾科拜尔·阿巴拜科日	1
156	艾勒坎木·阿巴拜科日	1
157	艾麦提·阿巴拜科日	1
158	安外尔·阿巴拜科日	1
159	艾萨·阿巴拜科日	1
160	巴土尔·阿巴拜科日	1
161	布尔汉·阿巴拜科日	1
162	帕则力·阿巴拜科日	1
163	塔力甫·阿巴拜科日	1
164	吐尔迪·阿巴拜科日	1
165	图尔荪·阿巴拜科日	1
166	图尔干·阿巴拜科日	1
167	图尔贡·阿巴拜科日	1
168	加马力·阿巴拜科日	1
169	居尔艾提·阿巴拜科日	1
170	居玛·阿巴拜科日	1
171	吉利力·阿巴拜科日	1
172	哈里克·阿巴拜科日	1
173	达尼什·阿巴拜科日	1
174	热杰普·阿巴拜科日	1
175	肉孜·阿巴拜科日	1
176	肉索力·阿巴拜科日	1
177	萨比提·阿巴拜科日	1
178	萨比尔·阿巴拜科日	1
179	司的克·阿巴拜科日	1
